Pokedex Number,Name,Type 1,Type 2 (If double typed),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1,Bulbasaur,Grass,Poison,200,92,92,121,121,85
2,Ivysaur,Grass,Poison,230,116,117,148,148,112
3,Venusaur,Grass,Poison,270,152,153,184,184,148
4,Charmander,Fire,,188,98,81,112,94,121
5,Charmeleon,Fire,,226,119,108,148,121,148
6,Charizard,Fire,Flying,266,155,144,200,157,184
7,Squirtle,Water,,198,90,121,94,119,81
8,Wartortle,Water,,228,117,148,121,148,108
9,Blastoise,Water,,268,153,184,157,193,144
10,Caterpie,Bug,,200,58,67,40,40,85
11,Metapod,Bug,,210,40,103,49,49,58
12,Butterfree,Bug,Flying,230,85,94,166,148,130
13,Weedle,Bug,Poison,190,67,58,40,40,94
14,Kakuna,Bug ,Poison,200,49,94,49,49,67
15,Beedrill,Bug ,Poison,240,166,76,85,148,139
16,Pidgey,Normal,Flying,190,85,76,67,67,105
17,Pidgeotto,Normal,Flying,236,112,103,94,94,132
18,Pidgeot,Normal,Flying,276,148,139,130,130,186
19,Rattata,Normal,,170,105,67,49,67,134
20,Raticate,Normal,,220,150,112,94,130,179
21,Spearow,Normal,Flying,190,112,58,60,60,130
22,Fearow,Normal,Flying,240,166,121,114,114,184
23,Ekans,Poison,,180,112,83,76,101,103
24,Arbok,Poison,,230,175,128,121,146,148
25,Pikachu,Electric,,180,103,76,94,94,166
26,Raichu,Electric,,230,166,103,166,148,202
27,Sandshrew,Ground,,210,139,157,40,58,76
28,Sandslash,Ground,,260,184,202,85,103,121
29,Nidoran (F),Poison,,220,89,98,76,76,78
30,Nidorina,Poison,,250,116,125,103,103,105
31,Nidoqueen,Poison,Ground,290,170,161,139,157,141
32,Nidoran (M),Poison,,202,107,76,76,76,94
33,Nidorino,Poison,,232,134,107,103,103,121
34,Nidoking,Poison,Ground,272,188,143,157,139,157
35,Clefairy,Normal,,250,85,90,112,121,67
36,Clefable,Normal,,300,130,135,175,166,112
37,Vulpix,Fire,,186,78,76,94,121,121
38,Ninetales,Fire,,256,141,139,150,184,184
39,Jigglypuff,Normal,,340,85,40,85,49,40
40,Wigglytuff,Normal,,390,130,85,157,94,85
41,Zubat,Poison,Flying,190,85,67,58,76,103
42,Golbat,Poison,Flying,260,148,130,121,139,166
43,Oddish,Grass,Poison,200,94,103,139,121,58
44,Gloom,Grass,Poison,230,121,130,157,139,76
45,Vileplume,Grass,Poison,260,148,157,202,166,94
46,Paras,Bug,Grass,180,130,103,85,103,49
47,Parasect,Bug,Grass,230,175,148,112,148,58
48,Venonat,Bug,Poison,230,103,94,76,103,85
49,Venomoth,Bug,Poison,250,121,112,166,139,166
50,Diglett,Ground,,130,103,49,67,85,175
51,Dugtrio,Ground,,180,184,94,94,130,220
52,Meowth,Normal,,190,85,67,76,76,166
53,Persian,Normal,,240,130,112,121,121,211
54,Psyduck,Water,,210,98,90,121,94,103
55,Golduck,Water,,270,152,144,175,148,157
56,Mankey,Fighting,,190,148,67,67,85,130
57,Primeape,Fighting,,240,193,112,112,130,175
58,Growlithe,Fire,,220,130,85,130,94,112
59,Arcanine,Fire,,290,202,148,184,148,175
60,Poliwag,Water,,190,94,76,76,76,166
61,Poliwhirl,Water,,240,121,121,94,94,166
62,Poliwrath,Water,Fighting,290,175,175,130,166,130
63,Abra,Psychic,,160,40,31,193,103,166
